Player Name,Player Id,URL,Market Value,Age,Position
Alerrandro,371996,https://www.transfermarkt.com.br/alerrandro/profil/spieler/371996,"3,00 mi. €",24,Forwards
Tomás Cuello,503052,https://www.transfermarkt.com.br/tomas-cuello/profil/spieler/503052,"3,00 mi. €",24,Forwards
Matheus Gonçalves,961046,https://www.transfermarkt.com.br/matheus-goncalves/profil/spieler/961046,"3,00 mi. €",19,Forwards
Ademir,544259,https://www.transfermarkt.com.br/ademir/profil/spieler/544259,"3,00 mi. €",29,Forwards
Jean Meneses,217228,https://www.transfermarkt.com.br/jean-meneses/profil/spieler/217228,"3,00 mi. €",31,Forwards
Bruno Tabata,438202,https://www.transfermarkt.com.br/bruno-tabata/profil/spieler/438202,"2,80 mi. €",27,Forwards
Tiquinho Soares,103381,https://www.transfermarkt.com.br/tiquinho-soares/profil/spieler/103381,"2,70 mi. €",33,Forwards
Rafael Ratão,289802,https://www.transfermarkt.com.br/rafael-ratao/profil/spieler/289802,"2,50 mi. €",29,Forwards
Breno Lopes,542598,https://www.transfermarkt.com.br/breno-lopes/profil/spieler/542598,"2,50 mi. €",28,Forwards
Enner Valencia,139503,https://www.transfermarkt.com.br/enner-valencia/profil/spieler/139503,"2,50 mi. €",35,Forwards
Bernard,175169,https://www.transfermarkt.com.br/bernard/profil/spieler/175169,"2,50 mi. €",32,Forwards
Luciano,223560,https://www.transfermarkt.com.br/luciano/profil/spieler/223560,"2,50 mi. €",31,Forwards
Héctor Hernández,273738,https://www.transfermarkt.com.br/hector-hernandez/profil/spieler/273738,"2,00 mi. €",29,Forwards
Lucas Barbosa,816144,https://www.transfermarkt.com.br/lucas-barbosa/profil/spieler/816144,"2,00 mi. €",23,Forwards
Gonzalo Mastriani,195882,https://www.transfermarkt.com.br/gonzalo-mastriani/profil/spieler/195882,"2,00 mi. €",31,Forwards
David,373189,https://www.transfermarkt.com.br/david/profil/spieler/373189,"2,00 mi. €",29,Forwards
Lucas Di Yorio,439108,https://www.transfermarkt.com.br/lucas-di-yorio/profil/spieler/439108,"2,00 mi. €",28,Forwards
Luighi,1158001,https://www.transfermarkt.com.br/luighi/profil/spieler/1158001,"2,00 mi. €",18,Forwards
Emerson Rodríguez,715140,https://www.transfermarkt.com.br/emerson-rodriguez/profil/spieler/715140,"2,00 mi. €",24,Forwards
