Player Name,Player Id,Season,Date,Home-Game,Minutes Played
Léo Jardim,288415,2022,23/02/23,0,90'
Léo Jardim,288415,2022,16/03/23,1,90'
Léo Jardim,288415,2022,13/03/23,0,90'
Léo Jardim,288415,2022,19/03/23,1,90'
Léo Jardim,288415,2022,07/02/23,0,90'
Léo Jardim,288415,2022,12/02/23,0,90'
Léo Jardim,288415,2022,27/02/23,1,90'
Léo Jardim,288415,2022,05/03/23,0,90'
Léo Jardim,288415,2022,09/03/23,1,90'
Léo Jardim,288415,2021,22/02/22,0,90'
Léo Jardim,288415,2021,16/03/22,1,90'
Léo Jardim,288415,2021,08/08/21,0,90'
Léo Jardim,288415,2021,14/08/21,1,90'
Léo Jardim,288415,2021,12/02/22,0,90'
Léo Jardim,288415,2021,18/02/22,1,90'
Léo Jardim,288415,2021,27/02/22,0,90'
Léo Jardim,288415,2021,06/03/22,1,90'
Léo Jardim,288415,2021,11/03/22,1,90'
Léo Jardim,288415,2021,19/03/22,0,90'
Léo Jardim,288415,2021,02/04/22,1,90'
Léo Jardim,288415,2021,10/04/22,0,90'
Léo Jardim,288415,2021,16/04/22,1,90'
Léo Jardim,288415,2021,20/04/22,0,90'
Léo Jardim,288415,2021,24/04/22,1,90'
Léo Jardim,288415,2021,01/05/22,0,90'
Léo Jardim,288415,2021,06/05/22,1,90'
Léo Jardim,288415,2021,14/05/22,0,90'
Léo Jardim,288415,2021,21/05/22,1,90'
Léo Jardim,288415,2021,01/08/21,1,90'
Léo Jardim,288415,2021,22/01/22,1,90'
Hugo Souza,574901,2023,16/07/24,1,90'
Hugo Souza,574901,2023,21/07/24,0,90'
Hugo Souza,574901,2023,25/07/24,1,90'
Hugo Souza,574901,2023,28/07/24,0,90'
Hugo Souza,574901,2023,04/08/24,1,90'
Hugo Souza,574901,2023,10/08/24,1,90'
Hugo Souza,574901,2023,17/08/24,0,90'
Hugo Souza,574901,2023,25/08/24,0,90'
Hugo Souza,574901,2023,01/09/24,1,90'
Hugo Souza,574901,2023,14/09/24,0,90'
Hugo Souza,574901,2023,21/09/24,1,90'
Hugo Souza,574901,2023,29/09/24,0,90'
Hugo Souza,574901,2023,05/10/24,1,90'
Hugo Souza,574901,2023,17/10/24,1,90'
Hugo Souza,574901,2023,28/10/24,0,90'
Hugo Souza,574901,2023,04/11/24,1,90'
Hugo Souza,574901,2023,09/11/24,0,90'
Hugo Souza,574901,2023,20/11/24,1,90'
Hugo Souza,574901,2023,24/11/24,1,90'
Hugo Souza,574901,2023,30/11/24,0,90'
Hugo Souza,574901,2023,03/12/24,1,90'
Hugo Souza,574901,2023,13/08/24,0,90'
Hugo Souza,574901,2023,20/08/24,1,90'
Hugo Souza,574901,2023,17/09/24,0,90'
Hugo Souza,574901,2023,24/09/24,1,90'
Hugo Souza,574901,2023,24/10/24,1,90'
Hugo Souza,574901,2023,31/10/24,0,90'
